Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
TJ Rogers,true,5,4,27,8
Manny Santiago,true,5,4,21,8
Kelvin Hoefler,true,5,2,15,3
Dan Plunkett,true,5,0,18,1
