Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Mike Mo Capaldi,false,0,5,11,5
Chris Cole,false,3,5,19,7
Brandon Biebel,true,5,2,17,4
Johnny Layton,true,5,3,12,5
David Gonzalez,false,2,5,21,7
Cory Kennedy,true,5,0,9,0
Mike Mo Capaldi,false,4,5,22,8
Danny Supa,true,5,3,10,6
Benny Fairfax,false,3,5,24,10
PJ Ladd,true,5,4,20,7
