Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Mike Mo Capaldi,false,4,5,26,7
Gavin Nolan,true,5,0,23,0
Cory Kennedy,true,5,1,16,1
Shane O'Neill,false,0,5,8,6
Trent McClung,true,5,3,28,6
Mike Mo Capaldi,false,4,5,31,9
Kevin Romar,true,5,2,16,3
