Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Felipe Gustavo,false,4,5,11,8
Cory Kennedy,false,4,5,30,8
Billy Marks,true,5,2,24,3
Heath Kirchart,true,5,3,23,6
Chris Haslam,true,5,2,20,2
Torey Pudwill,false,3,5,18,6
Paul Rodriguez,false,1,5,12,6
