Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Chris Roberts and The Legion of Doom,true,5,1,28,7
Stefan Janoski,true,5,1,16,2
Cory Kennedy,false,1,5,5,7
Rodrigo Teixeira,false,4,5,16,7
Mike Mo Capaldi,false,4,5,30,10
