Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Josh Matthews,false,3,5,21,8
Eric Koston,true,5,3,18,5
Monica Torres,true,5,4,17,11
Sierra Fellers,false,0,5,13,6
