Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Sierra Fellers,false,4,5,26,9
Chris Joslin,true,5,3,33,8
Taylor Kirby,true,5,4,32,10
Ishod Wair,false,3,5,28,8
Maurio McCoy,true,5,1,25,2
