Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Mike Mo Capaldi,false,0,5,12,5
Felipe Gustavo,true,5,4,21,8
Torey Pudwill,false,1,5,15,8
Sebo Walker,true,5,4,16,4
Ryan Pearce,true,5,2,17,6
Shane O'Neill,false,2,5,12,8
