Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Luan Oliveira,false,4,5,33,8
Trent McClung,true,5,4,22,8
Chaz Ortiz,true,5,3,34,7
CJ Tambornino,true,5,4,24,6
PJ Ladd,false,3,5,29,8
Paul Rodriguez,true,5,0,11,0
Shane O'Neill,false,0,5,14,6
Bastien Salabanzi,true,5,3,26,4
Morgan Smith,false,0,5,24,7
Chris Cole,true,5,2,35,4
PJ Ladd,false,2,5,52,11
