Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Louie Lopez,true,5,4,26,8
Nick Tucker,false,2,5,20,7
Chris Colbourn,true,5,4,55,12
Trent McClung,false,3,5,26,8
Donovan Strain,false,4,5,12,7
Matt Berger,false,2,5,26,9
Paul Rodriguez,false,0,5,26,8
Eric Koston,true,5,2,29,8
Mike Mo Capaldi,false,1,5,18,8
