Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Cesar Fernandez,true,5,4,17,6
PJ Ladd,false,1,5,15,7
Cairo Foster,true,5,2,11,4
Torey Pudwill,false,3,5,22,8
