Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Shane O'Neill,true,5,4,44,9
Sewa Kroetkov,false,2,5,22,7
Tom Asta,true,5,1,19,1
Shane O'Neill,false,0,5,14,6
Tyson Bowerbank,true,5,4,16,5
Chris Joslin,false,2,5,40,11
Mike Piwowar,true,5,4,29,6
Tom Asta,true,5,0,11,0
Trent McClung,true,5,4,35,4
Sewa Kroetkov,true,5,0,12,0
Chris Chann,true,5,0,12,1
Micky Papa,true,5,4,23,6
Luan Oliveira,true,5,0,19,0
Luan Oliveira,true,5,4,33,6
