Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Lacey Baker,true,5,2,9,3
Eliana Sosco,true,5,1,8,3
Christiana Means,false,0,5,4,5
Dan Plunkett,false,4,5,16,13
Alexis Sablone,true,5,0,6,2
David Reyes,true,5,4,14,8
