Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Shane O'Neill,false,0,5,10,6
Sean Malto,false,4,5,25,9
Ishod Wair,false,3,5,20,7
Justin Drysen,true,5,2,37,5
