Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Shane O'Neill,false,4,5,28,9
TJ Rogers,true,5,3,30,6
Wes Kremer,false,4,5,30,9
Tommy Fynn,true,5,1,30,3
PJ Ladd,false,4,5,36,9
Felipe Gustavo,true,5,0,9,0
Shane O'Neill,false,2,5,26,9
Morgan Smith,true,5,4,35,6
Luan Oliveira,false,0,5,12,6
Shane O'Neill,false,0,5,6,5
Louie Lopez,true,5,3,22,4
PJ Ladd,false,4,5,39,8
Miles Silvas,true,5,1,32,3
