Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Luan Oliveira,false,0,5,5,5
Cody Cepeda,false,0,5,7,6
Bastien Salabanzi,true,5,0,7,0
Chris Cole,true,5,4,22,7
