Opponent,Victory,Letters for,Letters against,Successful attempts,Unsuccessful attempts
Ben Gore,true,5,2,12,4
Mike Mo Capaldi,false,0,5,9,6
Brandon Biebel,true,5,4,12,6
Taylor Kirby,false,0,5,14,7
Eric Koston,false,1,5,8,8
