Trick name,Successful attempts,Unsuccessful attempts
Nollie Backside 180 Ollie North,2,0
Nollie Backside 360,13,3
Nollie Backside 360 Bigspin,8,5
Nollie Backside 360 Heelflip,57,32
Nollie Backside 360 Kickflip,9,7
Nollie Backside Bigspin,43,1
Nollie Backside Heelflip,6,0
Nollie Backside Kickflip,0,0
Nollie Biggerspin Kickflip,27,13
Nollie Bigspin Heelflip,103,37
Nollie Bigspin Kickflip,72,24
Nollie Bigspin Late Flip,0,4
Nollie Casper Flip,1,1
Nollie Double Heelflip,45,21
Nollie Double Kickflip,51,20
Nollie Front Foot Impossible,1,2
Nollie Front Foot Kickflip,31,20
Nollie Frontside 180,8,0
Nollie Frontside 180  Kickflip,12,1
Nollie Frontside 180 Double Kickflip,11,11
Nollie Frontside 180 Doubleflip,1,1
Nollie Frontside 180 Heelflip,267,66
Nollie Frontside 180 Heelflip 360 Body Varial,3,2
Nollie Frontside 180 Inward Heelflip,10,10
Nollie Frontside 180 Kickflip,259,77
Nollie Frontside 180 Late Front Foot Flip,1,2
Nollie Frontside 180 Ollie North,2,0
Nollie Frontside 360,51,3
Nollie Frontside 360 Bigspin,1,2
Nollie Frontside 360 Bigspin Kickflip,3,2
Nollie Frontside 360 Double Kickflip,2,2
Nollie Frontside 360 Kickflip,58,39
Nollie Frontside Biggerspin,0,1
Nollie Frontside Bigspin,42,6
Nollie Frontside Bigspin Heelflip,4,5
Nollie Frontside Shuvit,2,0
Nollie Hardflip,143,56
Nollie Heelflip,460,50
Nollie Heelflip Frontside 180 Body Varial,4,3
Nollie Heelflip Underflip,1,2
Nollie Impossible,0,1
Nollie Inward Heelflip,122,54
Nollie Kickflip,519,73
Nollie Laser Flip,7,1
Nollie Late Kickflip,8,8
Nollie Pop Shuvit,6,0
Nollie Pressure Flip,1,2
Nollie Varial Heelflip,39,9
Nollie Varial Kickflip,56,16
Ollie,2,0
Ollie Backside Body Varial,2,0
Ollie No Foot,1,1
Ollie North,14,0
Ollie North Frontside 180,2,0
Ollie South,2,0
One-Foot Powerslide 180,2,0
Pop Shuvit,26,1
Pop Shuvit Frontside 180 Body Varial,1,1
Pop Shuvit Revert,3,1
Pressure Flip,44,15
Pressure Flip Body Varial,1,1
Pressure Hardflip,1,1
Pressure Kickflip,10,5
Pressure Varial Flip,1,1
Quad Heelflip,0,0
Quad Kickflip,0,0
Shifty Revert Shuvit,1,1
Shuvit,2,0
